order_datetime,origin_longitude,origin_latitude,m_order_eta,order_gk,order_status_key,is_driver_assigned_key,cancellations_time_in_seconds
15:34:57,-0.955174,51.435582,,3.00063E+12,4,0,7
7:35:36,-0.958791,51.459481,,3.00063E+12,4,0,104
20:30:04,-0.971564,51.458022,60,3.00063E+12,4,1,27
8:44:03,-0.974281,51.475314,,3.00063E+12,9,0,
22:57:37,-0.957854,51.449262,,3.00063E+12,4,0,15
18:07:48,-0.962753,51.450808,,3.00063E+12,4,0,121
17:45:10,-0.975043,51.456599,958,3.00063E+12,4,1,123
8:03:03,-0.982094,51.449709,418,3.00063E+12,4,1,171
22:58:16,-0.957854,51.449262,,3.00063E+12,4,0,54
3:10:22,-0.933906,51.446975,,3.00063E+12,4,0,91
3:41:55,-0.932414,51.447308,178,3.00063E+12,4,1,22
8:56:44,-0.974281,51.475314,,3.00063E+12,4,0,145
14:23:22,-1.061134,51.441809,,3.00063E+12,4,0,106
16:48:18,-0.953481,51.416397,,3.00063E+12,9,0,
21:02:29,-0.986542,51.420305,,3.00063E+12,4,0,331
0:51:19,-0.932414,51.447308,532,3.00063E+12,4,1,30
14:40:45,-0.982604,51.471714,237,3.00063E+12,4,1,418
17:08:34,-0.970932,51.457899,,3.00063E+12,4,0,107
17:29:12,-0.991947,51.421997,,3.00063E+12,4,0,43
3:46:22,-0.932414,51.447308,,3.00063E+12,4,0,77
12:20:25,-0.984941,51.425929,477,3.00063E+12,4,1,46
18:04:34,-0.972893,51.456873,238,3.00063E+12,4,1,593
20:16:26,-0.969962,51.434487,,3.00063E+12,4,0,249
19:16:56,-0.942731,51.455331,,3.00063E+12,4,0,120
14:02:18,-1.049098,51.482327,,3.00063E+12,4,0,31
18:10:53,-0.962746,51.450836,,3.00063E+12,4,0,44
14:07:16,-0.974003,51.458636,358,3.00063E+12,4,1,59
17:12:18,-0.963187,51.450644,,3.00063E+12,4,0,15
8:13:01,-0.989201,51.472551,,3.00063E+12,4,0,318
19:17:46,-1.010571,51.462461,,3.00063E+12,9,0,
8:56:51,-0.966842,51.472315,,3.00063E+12,9,0,
8:32:37,-0.938129,51.422154,475,3.00063E+12,4,1,13
8:33:57,-0.939241,51.44867,,3.00063E+12,4,0,79
21:49:08,-0.978128,51.454907,60,3.00063E+12,4,1,7
15:12:51,-0.971462,51.446408,,3.00063E+12,4,0,59
21:43:28,-0.978128,51.454907,60,3.00063E+12,4,1,327
8:52:23,-0.974281,51.475314,,3.00063E+12,9,0,
23:58:55,-0.95707,51.442723,658,3.00063E+12,4,1,836
7:59:06,-0.990123,51.454477,,3.00063E+12,4,0,117
18:55:00,-0.961141,51.439149,,3.00063E+12,4,0,459
15:33:45,-0.955174,51.435582,658,3.00063E+12,4,1,60
17:15:07,-1.007197,51.469229,,3.00063E+12,4,0,38
19:56:11,-0.971275,51.468651,238,3.00063E+12,4,1,27
18:29:41,-0.954902,51.441276,597,3.00063E+12,4,1,63
17:16:02,-1.007246,51.469175,,3.00063E+12,4,0,55
8:41:40,-0.977197,51.431071,,3.00062E+12,4,0,206
7:55:16,-0.993,51.446611,,3.00062E+12,9,0,
8:19:58,-0.986307,51.446031,,3.00062E+12,9,0,
9:20:34,-0.985077,51.44555,,3.00062E+12,4,0,20
14:36:47,-0.959643,51.445283,,3.00062E+12,9,0,
22:13:50,-0.956998,51.449458,,3.00062E+12,4,0,28
8:26:32,-1.047778,51.446982,,3.00062E+12,9,0,
7:49:59,-0.992317,51.441893,960,3.00062E+12,4,1,114
15:50:26,-0.966518,51.454786,,3.00062E+12,4,0,148
8:39:46,-0.976824,51.432391,,3.00062E+12,4,0,84
21:43:25,-0.964731,51.444658,,3.00062E+12,9,0,
15:39:21,-0.957362,51.44263,,3.00062E+12,4,0,106
8:04:57,-0.958841,51.459744,,3.00062E+12,9,0,
17:28:43,-0.960105,51.453792,,3.00062E+12,9,0,
19:01:54,-0.970158,51.455166,,3.00062E+12,4,0,191
2:28:10,-0.971735,51.45683,,3.00062E+12,4,0,39
